serve_type,spin_type,spin_intensity,serve_length,placement_zone,toss_height,contact_point,match_id,game_number,server_score,receiver_score,game_state,opponent_id,opponent_skill_level,opponent_style,side,return_type,return_quality,return_placement,rally_length,point_outcome,point_end_type,intended_setup,rally_type_achieved,chop_rally_outcome,point_won,score_margin,total_points_played_in_game,is_tied,is_trailing,is_leading,is_late_game,is_deuce_or_later,is_game_point_for_server,is_game_point_against_server,opponent_is_looper,opponent_is_chopper,opponent_is_attacker,spin_x_looper,score_margin_abs,is_high_pressure,opponent_skill_numeric,serve_spin_combo,serve_length_spin_combo,serve_placement_combo,full_serve_combo,is_heavy_spin,is_low_spin,spin_length_interaction,combo_attempts,combo_win_rate,combo_reliability
backhand,float/no-spin,1,long,middle_FH,medium,body_center,1,1,0,0,neutral,1,intermediate,looper,forehand_side,loop,3,deep_BH,6,lost,forced_error,force_weak_push,attack_rally,not_applicable,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.0,backhand_float/no-spin,long_float/no-spin,backhand_middle_FH,backhand_float/no-spin_long_middle_FH,0,1,1_long,2,0.0,0.03333333333333333
backhand,float/no-spin,1,long,elbow,medium,body_center,1,1,0,1,neutral,1,intermediate,looper,forehand_side,banana_flip,2,deep_BH,3,lost,unforced_error,force_pop_up,attack_rally,not_applicable,0,-1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2.0,backhand_float/no-spin,long_float/no-spin,backhand_elbow,backhand_float/no-spin_long_elbow,0,1,1_long,4,0.0,0.1
backhand,float/no-spin,2,long,elbow,low,hip_level_backhand,1,1,0,2,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,3,lost,forced_error,start_chop_rally,attack_rally,not_applicable,0,-2,2,0,1,0,0,0,0,0,1,0,0,2,2,0,2.0,backhand_float/no-spin,long_float/no-spin,backhand_elbow,backhand_float/no-spin_long_elbow,0,0,2_long,4,0.0,0.1
backhand,float/no-spin,1,long,elbow,medium,hip_level_backhand,1,1,0,3,neutral,1,intermediate,looper,forehand_side,flip,2,deep_BH,2,lost,chop_rally_lost,force_weak_push,attack_rally,not_applicable,0,-3,3,0,1,0,0,0,0,0,1,0,0,1,3,0,2.0,backhand_float/no-spin,long_float/no-spin,backhand_elbow,backhand_float/no-spin_long_elbow,0,1,1_long,4,0.0,0.1
backhand,float/no-spin,1,short,elbow,low,body_center,1,1,0,4,trailing,1,intermediate,looper,forehand_side,banana_flip,2,wide_FH,5,lost,forced_error,force_weak_push,attack_rally,not_applicable,0,-4,4,0,1,0,0,0,0,0,1,0,0,1,4,0,2.0,backhand_float/no-spin,short_float/no-spin,backhand_elbow,backhand_float/no-spin_short_elbow,0,1,1_short,6,0.2,0.16666666666666666
backhand,backspin,1,half_long,wide_FH,medium,hip_level_backhand,1,1,0,5,trailing,1,intermediate,looper,forehand_side,push,2,short_FH,14,lost,chop_rally_lost,start_chop_rally,chop_rally,lost,0,-5,5,0,1,0,0,0,0,0,1,0,0,1,5,0,2.0,backhand_backspin,half_long_backspin,backhand_wide_FH,backhand_backspin_half_long_wide_FH,0,1,1_half_long,3,0.0,0.06666666666666667
pendulum,backspin,1,half_long,elbow,low,hip_level_forehand,1,1,0,6,trailing,1,intermediate,looper,forehand_side,loop,3,short_FH,6,lost,forced_error,force_weak_push,attack_rally,not_applicable,0,-6,6,0,1,0,0,0,0,0,1,0,0,1,6,0,2.0,pendulum_backspin,half_long_backspin,pendulum_elbow,pendulum_backspin_half_long_elbow,0,1,1_half_long,9,0.625,0.26666666666666666
pendulum,backspin,1,long,elbow,high,low_table_level,1,1,0,7,trailing,1,intermediate,looper,forehand_side,banana_flip,3,deep_BH,5,lost,unforced_error,direct_point,attack_rally,not_applicable,0,-7,7,0,1,0,0,0,0,0,1,0,0,1,7,0,2.0,pendulum_backspin,long_backspin,pendulum_elbow,pendulum_backspin_long_elbow,0,1,1_long,7,0.16666666666666666,0.2
tomahawk,sidespin-back,2,long,middle_BH,medium,hip_level_forehand,1,1,0,8,trailing,1,intermediate,looper,forehand_side,loop,3,short_middle,6,lost,forced_error,force_weak_push,attack_rally,not_applicable,0,-8,8,0,1,0,0,0,0,0,1,0,0,2,8,0,2.0,tomahawk_sidespin-back,long_sidespin-back,tomahawk_middle_BH,tomahawk_sidespin-back_long_middle_BH,0,0,2_long,2,0.0,0.03333333333333333
pendulum,backspin,2,short,middle_BH,low,hip_level_forehand,1,1,0,9,trailing,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable,1,-9,9,0,1,0,0,0,0,0,1,0,0,2,9,0,2.0,pendulum_backspin,short_backspin,pendulum_middle_BH,pendulum_backspin_short_middle_BH,0,0,2_short,6,0.4,0.16666666666666666
