serve_type,spin_type,spin_intensity,serve_length,placement_zone,toss_height,contact_point,match_id,game_number,server_score,receiver_score,game_state,opponent_id,opponent_skill_level,opponent_style,side,return_type,return_quality,return_placement,rally_length,point_outcome,point_end_type,intended_setup,rally_type_achieved,chop_rally_outcome
backhand,float/no-spin,1,long,middle_FH,medium,body_center,1,1,0,0,neutral,1,intermediate,looper,forehand_side,loop,3,deep_BH,6,lost,forced_error,force_weak_push,attack_rally,not_applicable
backhand,float/no-spin,1,long,elbow,medium,body_center,1,1,0,1,neutral,1,intermediate,looper,forehand_side,banana_flip,2,deep_BH,3,lost,unforced_error,force_pop_up,attack_rally,not_applicable
backhand,float/no-spin,2,long,elbow,low,hip_level_backhand,1,1,0,2,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,3,lost,forced_error,start_chop_rally,attack_rally,not_applicable
backhand,float/no-spin,1,long,elbow,medium,hip_level_backhand,1,1,0,3,neutral,1,intermediate,looper,forehand_side,flip,2,deep_BH,2,lost,chop_rally_lost,force_weak_push,attack_rally,not_applicable
backhand,float/no-spin,1,short,elbow,low,body_center,1,1,0,4,trailing,1,intermediate,looper,forehand_side,banana_flip,2,wide_FH,5,lost,forced_error,force_weak_push,attack_rally,not_applicable
backhand,backspin,1,half_long,wide_FH,medium,hip_level_backhand,1,1,0,5,trailing,1,intermediate,looper,forehand_side,push,2,short_FH,14,lost,chop_rally_lost,start_chop_rally,chop_rally,lost
pendulum,backspin,1,half_long,elbow,low,hip_level_forehand,1,1,0,6,trailing,1,intermediate,looper,forehand_side,loop,3,short_FH,6,lost,forced_error,force_weak_push,attack_rally,not_applicable
pendulum,backspin,1,long,elbow,high,low_table_level,1,1,0,7,trailing,1,intermediate,looper,forehand_side,banana_flip,3,deep_BH,5,lost,unforced_error,direct_point,attack_rally,not_applicable
tomahawk,sidespin-back,2,long,middle_BH,medium,hip_level_forehand,1,1,0,8,trailing,1,intermediate,looper,forehand_side,loop,3,short_middle,6,lost,forced_error,force_weak_push,attack_rally,not_applicable
pendulum,backspin,2,short,middle_BH,low,hip_level_forehand,1,1,0,9,trailing,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
